Token                                              Lemma                                              Stopword                                          
----------------------------------------------------------------------------------------------------
The                                                the                                                True                                              
Middle                                             Middle                                             False                                             
East                                               East                                               False                                             
Respiratory                                        Respiratory                                        False                                             
Syndrome                                           Syndrome                                           False                                             
(                                                  (                                                  False                                             
MERS                                               MERS                                               False                                             
)                                                  )                                                  False                                             
crisis                                             crisis                                             False                                             
in                                                 in                                                 True                                              
Korea                                              Korea                                              False                                             
is                                                 be                                                 True                                              
coming                                             come                                               False                                             
to                                                 to                                                 True                                              
an                                                 an                                                 True                                              
end                                                end                                                False                                             
,                                                  ,                                                  False                                             
but                                                but                                                True                                              
that                                               that                                               True                                              
's                                                 be                                                 True                                              
not                                                not                                                True                                              
the                                                the                                                True                                              
end                                                end                                                False                                             
of                                                 of                                                 True                                              
the                                                the                                                True                                              
story                                              story                                              False                                             
.                                                  .                                                  False                                             
The                                                the                                                True                                              
World                                              World                                              False                                             
Health                                             Health                                             False                                             
Organization                                       Organization                                       False                                             
(                                                  (                                                  False                                             
WHO                                                who                                                True                                              
)                                                  )                                                  False                                             
has                                                have                                               True                                              
warned                                             warn                                               False                                             
that                                               that                                               True                                              
the                                                the                                                True                                              
MERS                                               MERS                                               False                                             
crisis                                             crisis                                             False                                             
was                                                be                                                 True                                              
a                                                  a                                                  True                                              
'                                                  '                                                  False                                             
wakeup                                             wakeup                                             False                                             
call                                               call                                               True                                              
.                                                  .                                                  False                                             
'                                                  '                                                  False                                             
Like                                               like                                               False                                             
Severe                                             Severe                                             False                                             
Acute                                              Acute                                              False                                             
Respiratory                                        Respiratory                                        False                                             
Syndrome                                           Syndrome                                           False                                             
(                                                  (                                                  False                                             
SARS                                               SARS                                               False                                             
)                                                  )                                                  False                                             
in                                                 in                                                 True                                              
2003                                               2003                                               False                                             
and                                                and                                                True                                              
swine                                              swine                                              False                                             
flu                                                flu                                                False                                             
in                                                 in                                                 True                                              
2009                                               2009                                               False                                             
,                                                  ,                                                  False                                             
epidemic                                           epidemic                                           False                                             
outbreaks                                          outbreak                                           False                                             
will                                               will                                               True                                              
continue                                           continue                                           False                                             
to                                                 to                                                 True                                              
happen                                             happen                                             False                                             
anywhere                                           anywhere                                           True                                              
.                                                  .                                                  False                                             
Korea                                              Korea                                              False                                             
was                                                be                                                 True                                              
simply                                             simply                                             False                                             
unlucky                                            unlucky                                            False                                             
.                                                  .                                                  False                                             
In                                                 in                                                 True                                              
retrospect                                         retrospect                                         False                                             
,                                                  ,                                                  False                                             
it                                                 -PRON-                                             True                                              
is                                                 be                                                 True                                              
regrettable                                        regrettable                                        False                                             
to                                                 to                                                 True                                              
say                                                say                                                True                                              
that                                               that                                               True                                              
we                                                 -PRON-                                             True                                              
could                                              could                                              True                                              
have                                               have                                               True                                              
done                                               do                                                 True                                              
much                                               much                                               True                                              
better                                             better                                             False                                             
.                                                  .                                                  False                                             
Scholars                                           scholar                                            False                                             
and                                                and                                                True                                              
colleagues                                         colleague                                          False                                             
in                                                 in                                                 True                                              
the                                                the                                                True                                              
medical                                            medical                                            False                                             
informatics                                        informatic                                         False                                             
field                                              field                                              False                                             
should                                             should                                             True                                              
take                                               take                                               True                                              
a                                                  a                                                  True                                              
moment                                             moment                                             False                                             
and                                                and                                                True                                              
think                                              think                                              False                                             
hard                                               hard                                               False                                             
about                                              about                                              True                                              
how                                                how                                                True                                              
we                                                 -PRON-                                             True                                              
can                                                can                                                True                                              
work                                               work                                               False                                             
to                                                 to                                                 True                                              
fight                                              fight                                              False                                             
against                                            against                                            True                                              
another                                            another                                            True                                              
epidemic                                           epidemic                                           False                                             
invasion                                           invasion                                           False                                             
in                                                 in                                                 True                                              
the                                                the                                                True                                              
future                                             future                                             False                                             
.                                                  .                                                  False                                             
The                                                the                                                True                                              
Ebola                                              Ebola                                              False                                             
epidemic                                           epidemic                                           False                                             
of                                                 of                                                 True                                              
2013                                               2013                                               False                                             
is                                                 be                                                 True                                              
the                                                the                                                True                                              
largest                                            large                                              False                                             
such                                               such                                               True                                              
outbreak                                           outbreak                                           False                                             
on                                                 on                                                 True                                              
record                                             record                                             False                                             
,                                                  ,                                                  False                                             
influencing                                        influence                                          False                                             
many                                               many                                               True                                              
nations                                            nation                                             False                                             
in                                                 in                                                 True                                              
Africa                                             Africa                                             False                                             
as                                                 as                                                 True                                              
well                                               well                                               True                                              
as                                                 as                                                 True                                              
other                                              other                                              True                                              
countries                                          country                                            False                                             
[                                                  [                                                  False                                             
1                                                  1                                                  False                                             
]                                                  ]                                                  False                                             
.                                                  .                                                  False                                             
The                                                the                                                True                                              
WHO                                                who                                                True                                              
expert                                             expert                                             False                                             
panel                                              panel                                              False                                             
has                                                have                                               True                                              
pointed                                            point                                              False                                             
out                                                out                                                True                                              
the                                                the                                                True                                              
inadequate                                         inadequate                                         False                                             
emergency                                          emergency                                          False                                             
care                                               care                                               False                                             
response                                           response                                           False                                             
and                                                and                                                True                                              
has                                                have                                               True                                              
recommended                                        recommend                                          False                                             
more                                               more                                               True                                              
effective                                          effective                                          False                                             
mechanisms                                         mechanism                                          False                                             
for                                                for                                                True                                              
research                                           research                                           False                                             
and                                                and                                                True                                              
development                                        development                                        False                                             
.                                                  .                                                  False                                             
Others                                             other                                              True                                              
have                                               have                                               True                                              
strongly                                           strongly                                           False                                             
recommended                                        recommend                                          False                                             
WHO                                                who                                                True                                              
to                                                 to                                                 True                                              
innovate                                           innovate                                           False                                             
because                                            because                                            True                                              
recent                                             recent                                             False                                             
Ebola                                              Ebola                                              False                                             
outbreaks                                          outbreak                                           False                                             
have                                               have                                               True                                              
been                                               be                                                 True                                              
radically                                          radically                                          False                                             
different                                          different                                          False                                             
from                                               from                                               True                                              
previous                                           previous                                           False                                             
events                                             event                                              False                                             
,                                                  ,                                                  False                                             
and                                                and                                                True                                              
they                                               -PRON-                                             True                                              
have                                               have                                               True                                              
tended                                             tend                                               False                                             
to                                                 to                                                 True                                              
be                                                 be                                                 True                                              
simultaneous                                       simultaneous                                       False                                             
and                                                and                                                True                                              
parallel                                           parallel                                           False                                             
:                                                  :                                                  False                                             
"                                                  "                                                  False                                             
Highly                                             highly                                             False                                             
mobile                                             mobile                                             False                                             
populations                                        population                                         False                                             
,                                                  ,                                                  False                                             
the                                                the                                                True                                              
spread                                             spread                                             False                                             
of                                                 of                                                 True                                              
Ebola                                              Ebola                                              False                                             
into                                               into                                               True                                              
densely                                            densely                                            False                                             
populated                                          populated                                          False                                             
cities                                             city                                               False                                             
...                                                ...                                                False                                             
made                                               make                                               True                                              
this                                               this                                               True                                              
epidemic                                           epidemic                                           False                                             
of                                                 of                                                 True                                              
many                                               many                                               True                                              
outbreaks                                          outbreak                                           False                                             
difficult                                          difficult                                          False                                             
to                                                 to                                                 True                                              
control                                            control                                            False                                             
[                                                  [                                                  False                                             
2                                                  2                                                  False                                             
]                                                  ]                                                  False                                             
.                                                  .                                                  False                                             
"                                                  "                                                  False                                             
Other                                              other                                              True                                              
criticisms                                         criticism                                          False                                             
also                                               also                                               True                                              
include                                            include                                            False                                             
outdated                                           outdate                                            False                                             
therapeutic                                        therapeutic                                        False                                             
protocols                                          protocol                                           False                                             
,                                                  ,                                                  False                                             
irrelevant                                         irrelevant                                         False                                             
information                                        information                                        False                                             
,                                                  ,                                                  False                                             
untimely                                           untimely                                           False                                             
communication                                      communication                                      False                                             
,                                                  ,                                                  False                                             
delays                                             delay                                              False                                             
in                                                 in                                                 True                                              
decision                                           decision                                           False                                             
-                                                  -                                                  False                                             
making                                             make                                               False                                             
due                                                due                                                True                                              
to                                                 to                                                 True                                              
uncoordinated                                      uncoordinated                                      False                                             
leadership                                         leadership                                         False                                             
,                                                  ,                                                  False                                             
unreasonable                                       unreasonable                                       False                                             
social                                             social                                             False                                             
behavior                                           behavior                                           False                                             
,                                                  ,                                                  False                                             
and                                                and                                                True                                              
so                                                 so                                                 True                                              
on                                                 on                                                 True                                              
.                                                  .                                                  False                                             
The                                                the                                                True                                              
recom-                                             recom-                                             False                                             
tems                                               tem                                                False                                             
.                                                  .                                                  False                                             
The                                                the                                                True                                              
NEDSS                                              NEDSS                                              False                                             
can                                                can                                                True                                              
be                                                 be                                                 True                                              
called                                             call                                               False                                             
a                                                  a                                                  True                                              
medical                                            medical                                            False                                             
informatics                                        informatics                                        False                                             
leader                                             leader                                             False                                             
,                                                  ,                                                  False                                             
which                                              which                                              True                                              
provides                                           provide                                            False                                             
a                                                  a                                                  True                                              
standardized                                       standardized                                       False                                             
information                                        information                                        False                                             
infrastructure                                     infrastructure                                     False                                             
with                                               with                                               True                                              
HL7                                                HL7                                                False                                             
,                                                  ,                                                  False                                             
LOINC                                              LOINC                                              False                                             
,                                                  ,                                                  False                                             
and                                                and                                                True                                              
SNOMED                                             SNOMED                                             False                                             
-                                                  -                                                  False                                             
CT                                                 CT                                                 False                                             
.                                                  .                                                  False                                             
Highly                                             highly                                             False                                             
useful                                             useful                                             False                                             
information                                        information                                        False                                             
is                                                 be                                                 True                                              
well                                               well                                               True                                              
organized                                          organized                                          False                                             
and                                                and                                                True                                              
ready                                              ready                                              False                                             
to                                                 to                                                 True                                              
be                                                 be                                                 True                                              
used                                               use                                                True                                              
in                                                 in                                                 True                                              
the                                                the                                                True                                              
US                                                 US                                                 True                                              
-                                                  -                                                  False                                             
CDC                                                CDC                                                False                                             
[                                                  [                                                  False                                             
6                                                  6                                                  False                                             
]                                                  ]                                                  False                                             
,                                                  ,                                                  False                                             
so                                                 so                                                 True                                              
we                                                 -PRON-                                             True                                              
do                                                 do                                                 True                                              
n't                                                not                                                True                                              
have                                               have                                               True                                              
to                                                 to                                                 True                                              
reinvent                                           reinvent                                           False                                             
the                                                the                                                True                                              
wheel                                              wheel                                              False                                             
.                                                  .                                                  False                                             
All                                                all                                                True                                              
we                                                 -PRON-                                             True                                              
need                                               need                                               False                                             
is                                                 be                                                 True                                              
to                                                 to                                                 True                                              
find                                               find                                               False                                             
a                                                  a                                                  True                                              
conduit                                            conduit                                            False                                             
for                                                for                                                True                                              
connection                                         connection                                         False                                             
.                                                  .                                                  False                                             
For                                                for                                                True                                              
example                                            example                                            False                                             
,                                                  ,                                                  False                                             
the                                                the                                                True                                              
task                                               task                                               False                                             
of                                                 of                                                 True                                              
disease                                            disease                                            False                                             
surveillance                                       surveillance                                       False                                             
for                                                for                                                True                                              
MERS                                               mer                                                False                                             
is                                                 be                                                 True                                              
relatively                                         relatively                                         False                                             
small                                              small                                              False                                             
compared                                           compare                                            False                                             
to                                                 to                                                 True                                              
NEDSS                                              NEDSS                                              False                                             
.                                                  .                                                  False                                             
Using                                              use                                                True                                              
the                                                the                                                True                                              
cell                                               cell                                               False                                             
phone                                              phone                                              False                                             
data                                               datum                                              False                                             
network                                            network                                            False                                             
,                                                  ,                                                  False                                             
we                                                 -PRON-                                             True                                              
can                                                can                                                True                                              
instantly                                          instantly                                          False                                             
establish                                          establish                                          False                                             
a                                                  a                                                  True                                              
real                                               real                                               False                                             
-                                                  -                                                  False                                             
time                                               time                                               False                                             
patient                                            patient                                            False                                             
tracking                                           tracking                                           False                                             
system                                             system                                             False                                             
to                                                 to                                                 True                                              
monitor                                            monitor                                            False                                             
3-tuple                                            3-tuple                                            False                                             
data                                               datum                                              False                                             
(                                                  (                                                  False                                             
time                                               time                                               False                                             
,                                                  ,                                                  False                                             
location                                           location                                           False                                             
,                                                  ,                                                  False                                             
temperature                                        temperature                                        False                                             
)                                                  )                                                  False                                             
in                                                 in                                                 True                                              
the                                                the                                                True                                              
country                                            country                                            False                                             
.                                                  .                                                  False                                             
Cell                                               cell                                               False                                             
phone                                              phone                                              False                                             
rental                                             rental                                             False                                             
can                                                can                                                True                                              
help                                               help                                               False                                             
track                                              track                                              False                                             
down                                               down                                               True                                              
suspicious                                         suspicious                                         False                                             
foreign                                            foreign                                            False                                             
visitors                                           visitor                                            False                                             
from                                               from                                               True                                              
arrival                                            arrival                                            False                                             
to                                                 to                                                 True                                              
departure                                          departure                                          False                                             
.                                                  .                                                  False                                             
With                                               with                                               True                                              
the                                                the                                                True                                              
support                                            support                                            False                                             
of                                                 of                                                 True                                              
ISO                                                iso                                                False                                             
standards                                          standard                                           False                                             
,                                                  ,                                                  False                                             
global                                             global                                             False                                             
healthcare                                         healthcare                                         False                                             
networking                                         networking                                         False                                             
is                                                 be                                                 True                                              
not                                                not                                                True                                              
a                                                  a                                                  True                                              
hard                                               hard                                               False                                             
nut                                                nut                                                False                                             
to                                                 to                                                 True                                              
crack                                              crack                                              False                                             
.                                                  .                                                  False                                             
When                                               when                                               True                                              
the                                                the                                                True                                              
MERS                                               MERS                                               False                                             
epidemic                                           epidemic                                           False                                             
outbreak                                           outbreak                                           False                                             
was                                                be                                                 True                                              
on                                                 on                                                 True                                              
the                                                the                                                True                                              
headline                                           headline                                           False                                             
news                                               news                                               False                                             
,                                                  ,                                                  False                                             
many                                               many                                               True                                              
attempts                                           attempt                                            False                                             
were                                               be                                                 True                                              
made                                               make                                               True                                              
to                                                 to                                                 True                                              
compare                                            compare                                            False                                             
MERS                                               MERS                                               False                                             
with                                               with                                               True                                              
tuberculosis                                       tuberculosis                                       False                                             
.                                                  .                                                  False                                             
That                                               that                                               True                                              
is                                                 is                                                 True                                              
,                                                  ,                                                  False                                             
the                                                the                                                True                                              
mortality                                          mortality                                          False                                             
rate                                               rate                                               False                                             
of                                                 of                                                 True                                              
MERS                                               MERS                                               False                                             
is                                                 be                                                 True                                              
far                                                far                                                False                                             
below                                              below                                              True                                              
that                                               that                                               True                                              
of                                                 of                                                 True                                              
tuberculosis                                       tuberculosis                                       False                                             
,                                                  ,                                                  False                                             
so                                                 so                                                 True                                              
it                                                 -PRON-                                             True                                              
was                                                be                                                 True                                              
argued                                             argue                                              False                                             
that                                               that                                               True                                              
there                                              there                                              True                                              
was                                                be                                                 True                                              
no                                                 no                                                 True                                              
need                                               need                                               False                                             
to                                                 to                                                 True                                              
worry                                              worry                                              False                                             
about                                              about                                              True                                              
it                                                 -PRON-                                             True                                              
.                                                  .                                                  False                                             
The                                                the                                                True                                              
point                                              point                                              False                                             
was                                                be                                                 True                                              
clear                                              clear                                              False                                             
,                                                  ,                                                  False                                             
but                                                but                                                True                                              
the                                                the                                                True                                              
timing                                             timing                                             False                                             
was                                                be                                                 True                                              
not                                                not                                                True                                              
right                                              right                                              False                                             
.                                                  .                                                  False                                             
Have                                               have                                               True                                              
you                                                -PRON-                                             True                                              
ever                                               ever                                               True                                              
got                                                get                                                False                                             
a                                                  a                                                  True                                              
thorn                                              thorn                                              False                                             
stuck                                              stick                                              False                                             
under                                              under                                              True                                              
your                                               -PRON-                                             True                                              
fingernail                                         fingernail                                         False                                             
?                                                  ?                                                  False                                             
Saying                                             say                                                False                                             
that                                               that                                               True                                              
"                                                  "                                                  False                                             
It                                                 -PRON-                                             True                                              
's                                                 be                                                 True                                              
OK                                                 ok                                                 False                                             
you                                                -PRON-                                             True                                              
're                                                be                                                 True                                              
not                                                not                                                True                                              
bleeding                                           bleed                                              False                                             
"                                                  "                                                  False                                             
or                                                 or                                                 True                                              
"                                                  "                                                  False                                             
You                                                -PRON-                                             True                                              
wo                                                 will                                               False                                             
n't                                                not                                                True                                              
die                                                die                                                False                                             
from                                               from                                               True                                              
it                                                 -PRON-                                             True                                              
"                                                  "                                                  False                                             
would                                              would                                              True                                              
not                                                not                                                True                                              
comfort                                            comfort                                            False                                             
anybody                                            anybody                                            False                                             
at                                                 at                                                 True                                              
all                                                all                                                True                                              
.                                                  .                                                  False                                             
I                                                  -PRON-                                             True                                              
would                                              would                                              True                                              
venture                                            venture                                            False                                             
to                                                 to                                                 True                                              
say                                                say                                                True                                              
that                                               that                                               True                                              
it                                                 -PRON-                                             True                                              
is                                                 be                                                 True                                              
surely                                             surely                                             False                                             
mistaken                                           mistaken                                           False                                             
to                                                 to                                                 True                                              
compare                                            compare                                            False                                             
the                                                the                                                True                                              
pain                                               pain                                               False                                             
at                                                 at                                                 True                                              
present                                            present                                            False                                             
with                                               with                                               True                                              
a                                                  a                                                  True                                              
probable                                           probable                                           False                                             
outcome                                            outcome                                            False                                             
yet                                                yet                                                True                                              
to                                                 to                                                 True                                              
happen                                             happen                                             False                                             
.                                                  .                                                  False                                             
When                                               when                                               True                                              
hospital                                           hospital                                           False                                             
visitors                                           visitor                                            False                                             
became                                             become                                             True                                              
MERS                                               MERS                                               False                                             
patients                                           patient                                            False                                             
,                                                  ,                                                  False                                             
a                                                  a                                                  True                                              
typical                                            typical                                            False                                             
example                                            example                                            False                                             
of                                                 of                                                 True                                              
nosocomial                                         nosocomial                                         False                                             
infection                                          infection                                          False                                             
was                                                be                                                 True                                              
demonstrated                                       demonstrate                                        False                                             
.                                                  .                                                  False                                             
It                                                 -PRON-                                             True                                              
was                                                be                                                 True                                              
a                                                  a                                                  True                                              
surprise                                           surprise                                           False                                             
attack                                             attack                                             False                                             
,                                                  ,                                                  False                                             
and                                                and                                                True                                              
the                                                the                                                True                                              
whole                                              whole                                              True                                              
country                                            country                                            False                                             
was                                                be                                                 True                                              
shaken                                             shake                                              False                                             
and                                                and                                                True                                              
panicked                                           panicked                                           False                                             
.                                                  .                                                  False                                             
The                                                the                                                True                                              
WHO                                                who                                                True                                              
experts                                            expert                                             False                                             
reminded                                           remind                                             False                                             
us                                                 -PRON-                                             True                                              
that                                               that                                               True                                              
hospital                                           hospital                                           False                                             
shopping                                           shop                                               False                                             
greatly                                            greatly                                            False                                             
contributed                                        contribute                                         False                                             
to                                                 to                                                 True                                              
the                                                the                                                True                                              
rapid                                              rapid                                              False                                             
spread                                             spread                                             False                                             
of                                                 of                                                 True                                              
MERS                                               MERS                                               False                                             
in                                                 in                                                 True                                              
Korea                                              Korea                                              False                                             
.                                                  .                                                  False                                             
We                                                 -PRON-                                             True                                              
have                                               have                                               True                                              
to                                                 to                                                 True                                              
understand                                         understand                                         False                                             
why                                                why                                                True                                              
patients                                           patient                                            False                                             
pursue                                             pursue                                             False                                             
hospital                                           hospital                                           False                                             
shopping                                           shopping                                           False                                             
.                                                  .                                                  False                                             
The                                                the                                                True                                              
death                                              death                                              False                                             
of                                                 of                                                 True                                              
professionalism                                    professionalism                                    False                                             
may                                                may                                                True                                              
be                                                 be                                                 True                                              
an                                                 an                                                 True                                              
unexpected                                         unexpected                                         False                                             
result                                             result                                             False                                             
of                                                 of                                                 True                                              
the                                                the                                                True                                              
fashionable                                        fashionable                                        False                                             
social                                             social                                             False                                             
network                                            network                                            False                                             
services                                           service                                            False                                             
(                                                  (                                                  False                                             
SNS                                                SNS                                                False                                             
)                                                  )                                                  False                                             
.                                                  .                                                  False                                             
Patients                                           patient                                            False                                             
use                                                use                                                False                                             
SNSs                                               sns                                                False                                             
to                                                 to                                                 True                                              
data                                               data                                               False                                             
